datetime,locationID,car_type
2017-01-01 01:36:36,66,taxi
2017-01-01 01:36:37,255,taxi
2017-01-01 01:36:37,7,taxi
2017-01-01 01:36:38,74,taxi
2017-01-01 01:36:39,52,taxi
2017-01-01 01:36:39,129,taxi
2017-01-01 01:36:40,198,taxi
2017-01-01 01:36:42,42,taxi
2017-01-01 01:36:42,97,taxi
2017-01-01 01:36:42,75,taxi
2017-01-01 01:36:43,129,taxi
2017-01-01 01:36:43,157,taxi
2017-01-01 01:36:45,243,taxi
2017-01-01 01:36:45,145,taxi
2017-01-01 01:36:46,244,taxi
2017-01-01 01:36:47,17,taxi
2017-01-01 01:36:49,247,taxi
2017-01-01 01:36:49,37,taxi
2017-01-01 01:36:49,32,taxi
2017-01-01 01:36:52,179,taxi
2017-01-01 01:36:54,82,taxi
2017-01-01 01:36:54,225,taxi
2017-01-01 01:36:55,256,taxi
2017-01-01 01:36:55,75,taxi
2017-01-01 01:36:56,95,taxi
2017-01-01 01:36:56,106,taxi
2017-01-01 01:36:57,145,taxi
